SITE	ZONE	LATITUDE	LONGITUDE	ET	DATE_CH	PHMA	PMVE	PMME	NM	BMME	BMVE	PBMA	RF	ORGANISME	DATE_RF	RF_ZH	RF_Ref	ZH_Ref	ZH_Elli	REFERENCE
Hoëdic	Loire, Vendée	47.3445	-2.874167	3.38		5.78	5.15	4.1	3.09	1.9	0.65	-0.01	Repère de nivellement SHOM scellé dans le début de la jetée Est.	Shom	2010	6.362	3.475	-2.887		IGN69
Saint-Nazaire	Loire, Vendée	47.266944	-2.201667	3.59	2018	6.6	5.9	4.7	3.61	2.25	0.85	0.06	O.KS - 69	IGN	2015	9.252	6.092	-3.16	44.634	IGN69
Le Croisic	Loire, Vendée	47.3	-2.516667	3.52		6.13	5.45	4.3	3.3	2.05	0.7	-0.03	O.KS-1	IGN	1975	7.792	4.932	-2.86		IGN69
Le Pouliguen	Loire, Vendée	47.251667	-2.403333	3.49		6.15	5.45	4.3	3.31	2.05	0.75	0.04	O.KS - 23	IGN	1975	7.075	4.158	-2.917	45.126	IGN69
Pornichet	Loire, Vendée	47.258333	-2.346667	3.41		6.22	5.55	4.4	3.41	2.2	0.8	-0.01	O.KS-35	IGN	1975	14.038	11.111	-2.927		IGN69
Le Grand Charpentier	Loire, Vendée	47.215	-2.316944	3.49		6.27	5.55	4.45	3.39	2.1	0.8	0.05	pas de rattachement							
Montoir de Bretagne	Loire, Vendée	47.305556	-2.108361	3.71	2018	6.82	6.1	4.8	3.69	2.25	0.75	-0.08	Boulon sud amont de coffret sur la dalle d'amarrage à 30m en amont du quai charbonnier	Shom	2014	8.291	5.132	-3.159		IGN69
Cordemais	Loire, Vendée	47.277222	-1.889806	4.02	2020	7.03	6.35	5	3.78	2.05	1	0.42	O.S.P3 - 41	IGN	2013	17.555	14.396	-3.159		IGN69
Le Pellerin	Loire, Vendée	47.205389	-1.765139	4.41	2020	7.2	6.45	5.15	3.97	2.15	1.35	0.76	O.S.O3P3-23	IGN	2010	13.597	10.438	-3.159		IGN69
Nantes (Chantenay)	Loire, Vendée	47.193444	-1.633667	4.76	2020	7.31	6.55	5.25	4.1	2.25	1.55	0.74	OU - 182	IGN	1998	9.231	6.072	-3.159		IGN69
Pointe de Saint-Gildas	Loire, Vendée	47.14	-2.246667	3.46	2012	6.33	5.6	4.5	3.44	2.1	0.8	0.06	O.S.K3 - 68	IGN	1986	13.96	10.882	-3.078	44.771	IGN69
Pornic	Loire, Vendée	47.109167	-2.113667	3.63		6.54	5.8	4.7	3.57	2.2	0.8	-0.02	O.S.K3L3 - 6	IGN	1985	41.636	38.437	-3.199		IGN69
L'Herbaudière (Île de Noirmoutier)	Loire, Vendée	47.026667	-2.298333	3.38	2022	6.48	5.8	4.65	3.6	2.3	0.95	0.21	O.I.K3-35	IGN	2011	14.163	11.058	-3.105	44.716	IGN69
Fromentine (embarcadère)	Loire, Vendée	46.893333	-2.14	3.52	2023	6.25	5.5	4.35	3.4	2.15	0.95	0.33	O.I.K3N3-30e	IGN	2010	7.176	4.365	-2.811	44.885	IGN69
Bouée Fromentine	Loire, Vendée	46.8847	-2.193167	3.36	2016	5.9	5.2	4.2	3.2	2	0.75	0	pas de rattachement							
Port-Joinville (Île d'Yeu)	Loire, Vendée	46.726667	-2.348	3.26	2020	5.81	5.25	4.2	3.12	2.1	0.9	0.09	O.I.K3-126	IGN	2008	16.656	13.876	-2.78	45.107	IGN69
Saint-Gilles-Croix-de-Vie	Loire, Vendée	46.696667	-1.9425	3.41		5.87	5.25	4.25	3.17	2.1	0.85	0.01	O.I.K3.M3 - 34	IGN	2008	7.805	5.053	-2.752		IGN69
La Rochelle - La Pallice	Pertuis Charentais	46.16	-1.221667	3.4		6.87	6.1	4.95	3.9	2.5	1	0.17	O.O.K3-126	IGN	2011	9.107	5.604	-3.503	43.474	IGN69
L'Aiguillon-sur-Mer	Pertuis Charentais	46.335	-1.316389	3.73	2015	6.74	6.3	5.1	4.05	2.45	1.65	0.8	O.H.A3C3 - 38	IGN	2015	9.286	5.784	-3.502	43.483	IGN69
Pointe de l'Aiguillon	Pertuis Charentais	46.2575	-1.190833	3.51		7.05	6.3	5.15	4.05	2.6	1	0.18	pas de rattachement							
Saint-Martin-de-Ré (Île de Ré)	Pertuis Charentais	46.208	-1.3655	3.44		6.72	6	4.85	3.82	2.45	0.95	0.14	O.HO-42	IGN	2011	8.056	4.553	-3.503		IGN69
Saint-Denis d'Oléron	Pertuis Charentais	46.036833	-1.372333	3.34		6.85	6.1	4.95	3.89	2.5	1	0.17	O.O.P3 - 66	IGN	2011	7.764	4.355	-3.409	43.486	IGN69
Port du Douhet (Bouée W)	Pertuis Charentais	46.006167	-1.296333	3.34	2012	6.83	6.1	4.95	3.9	2.5	1	0.16	pas de rattachement							
Fort Boyard	Pertuis Charentais	46	-1.211667	3.29		6.87	6.15	5	3.94	2.5	1.05	0.3	pas de rattachement							
Île d'Aix	Pertuis Charentais	46.008333	-1.173333	3.38	2017	6.95	6.15	5	3.96	2.5	1	0.09	O.O.K3-195c	IGN	2011	7.65	4.145	-3.505	43.315	IGN69
Le Vergeroux	Pertuis Charentais	45.966667	-0.983333				6.1						pas de rattachement							
Rochefort	Pertuis Charentais	45.95	-0.966667	3.97	2010	7.23	6.7	5.35	4.19	2.25	1.05	0.81	O.O.K3-7F Bis	IGN	1995	7.583	4.043	-3.54		IGN69
Le Chapus	Pertuis Charentais	45.853667	-1.178	3.52		6.67	6.1	5.05	3.99	2.55	1.25	0.58	O.O.K3P3 - 21	IGN	2011	7.67	4.155	-3.515		IGN69
Pont aval de la Seudre	Pertuis Charentais	45.799561	-1.137801	3.6	2021	6.03	5.35	4.3	3.29	1.95	0.75	0.14	O.O.P3 - 96	IGN	1986	11.473	8.725	-2.748	43.824	IGN69
La Cayenne	Pertuis Charentais	45.789167	-1.1255	3.78		6.15	5.6	4.65	3.63	2.45	1.05	0.33	pas de rattachement							
Pointe de Grave	Abords de la Gironde	45.568667	-1.066667	3.81	2017	5.9	5.3	4.35	3.29	2.1	1.1	0.54	O.NP-6	IGN	1973	7.808	4.977	-2.831	43.433	IGN69
La Cotinière	Abords de la Gironde	45.914167	-1.325833	3.2	2012	6.31	5.6	4.65	3.62	2.35	1.35	0.61	O.O.P3-182	IGN	2015	8.569	5.378	-3.191	43.596	IGN69
Pointe de Gatseau	Abords de la Gironde	45.799167	-1.236667	3.63		6.02	5.35	4.45	3.44	2.25	1.25	0.51	pas de rattachement							
Cordouan	Abords de la Gironde	45.583333	-1.166667	3.52		5.75	5	4.05	3.03	1.85	0.9	0.09	pas de rattachement							
Lacanau	Abords de la Gironde	45	-1.2	3.66		5.3	4.65	3.75	2.69	1.6	0.65	-0.02	pas de rattachement							
Royan	Abords de la Gironde	45.619333	-1.028	3.65	2015	6.03	5.4	4.45	3.42	2.2	1.2	0.66	O.GP-30	IGN	2011	13.044	10.054	-2.99	43.36	IGN69
Le Verdon-sur-Mer	Abords de la Gironde	45.546333	-1.040833	3.77		6.09	5.45	4.45	3.33	2.1	1.05	0.51	O.NP-10	IGN	1974	8.827	5.948	-2.879	43.386	IGN69
Richard	Abords de la Gironde	45.453667	-0.92305	4.23	2017	6.15	5.55	4.55	3.38	2	1.05	0.46	O.PQ - 24	IGN	1975	6.812	3.953	-2.859	43.325	IGN69
Lamena	Abords de la Gironde	45.335733	-0.795217	4.6	2017	6.29	5.7	4.6	3.32	1.75	0.85	0.23	O.PQ - 51	IGN	1975	6.676	3.859	-2.817	43.255	IGN69
Bordeaux	La Gironde, la Garonne	44.859982	-0.552805				5.35	4.25	2.45	0.45	0.05		O.P.N3Q3-7	IGN	1986	6.896	5.084	-1.812	44.244	IGN69
Pauillac - Trompeloup	La Gironde, la Garonne	45.2168	-0.746	5.02	2017	6.24	5.6	4.5	3.12	1.4	0.6		O.FR-1	IGN	1975	10.021	7.482	-2.539	43.413	IGN69
Fort Médoc	La Gironde, la Garonne	45.11727	-0.70026	5.29	2017	6.18	5.55	4.4	2.9	1.05	0.3		O.R.C3-4	IGN	1975	6.195	3.935	-2.26	43.658	IGN69
Le Marquis	La Gironde, la Garonne	45.00312	-0.55967				5.15	4.05	2.46	0.6	0.1		O.P.P3Q3 - 38	IGN	1985	6.784	4.906	-1.878	43.993	IGN69
Saint-Jean-de-Luz	Abords d'Arcachon et de Cap Breton	43.395	-1.681667	3.18	2011	4.97	4.35	3.4	2.51	1.6	0.6	0.03	O.A.K3L3-4-II	IGN	2012	7.975	5.802	-2.173	46.595	IGN69
Arcachon	Abords d'Arcachon et de Cap Breton	44.664333	-1.163667	4.08	2011	4.91	4.35	3.4	2.48	1.3	0.45	-0.08	O.B.N3-69	IGN	1982	6.518	4.538	-1.98	44.751	IGN69
Le Grand Piquey	Abords d'Arcachon et de Cap Breton	44.7135	-1.210833	4.22		4.65	4.2	3.25	2.37	1.25	0.3	-0.28	O.N.C3 - 27	IGN	1975	7.995	6.014	-1.981		IGN69
Cap Ferret	Abords d'Arcachon et de Cap Breton	44.629167	-1.241667	3.81		4.51	4.2	3.35	2.37	1.4	0.6	0.03	O.N.C3-41	IGN	1975	7.699	5.719	-1.98	44.886	IGN69
Pilat Plage	Abords d'Arcachon et de Cap Breton	44.603056	-1.210556	3.77		4.54	4.05	3.2	2.33	1.3	0.45	-0.09	O.B.N3 - 86	IGN	1982	7.045	5.04	-2.005		IGN69
Boucau-Bayonne	Abords d'Arcachon et de Cap Breton	43.527222	-1.514722	3.28		4.84	4.25	3.35	2.53	1.7	0.75	0.17	O.B.N3-22	IGN	1982	8.719	6.576	-2.143	46.706	IGN69
Biscarrosse	Abords d'Arcachon et de Cap Breton	44.46755	-1.27075	3.18		4.91	4.35	3.35	2.49	1.55	0.55	-0.03	pas de rattachement							
Mimizan	Abords d'Arcachon et de Cap Breton	44.216667	-1.3	3.21	2020	5.11	4.5	3.55	2.63	1.7	0.7	0.06	O.B.N3 - 148c	IGN	2012	7.515	5.355	-2.16	45.68	IGN69
Vieux-Boucau	Abords d'Arcachon et de Cap Breton	43.783333	-1.416667	3.31		4.47	3.9	3.05	2.22	1.4	0.5	-0.01	pas de rattachement							
Capbreton	Abords d'Arcachon et de Cap Breton	43.653667	-1.437167	3.25	2011	4.79	4.3	3.35	2.41	1.5	0.6	0.03	O.B.N3-22e	IGN	2006	9.451	7.357	-2.094	46.281	IGN69
Hendaye	Abords d'Arcachon et de Cap Breton	43.379333	-1.784667	3.16	2011	4.99	4.4	3.45	2.52	1.65	0.5	0	EO-138C	IGN	2006	9.501	7.283	-2.218	46.49	IGN69
Toulon	Méditerranée	43.122678	5.914669			0.64			0.42			0.17	M.A.E3-9 Bis	IGN	2019	3.907	3.655	-0.252	48.226	IGN69
Banyuls-sur-Mer	Méditerranée	42.481667	3.138167		2014	0.74			0.57			0.43	M.E.I3 - 7	IGN	1983	4.961	4.423	-0.538		IGN69
Port-Vendres	Méditerranée	42.520044	3.107369		2014	0.72			0.52			0.31	EM 47	IGN	2020	2.584	2.192	-0.392	49.341	IGN69
Port-la-Nouvelle	Méditerranée	43.015278	3.061944		2017	0.75			0.55			0.34	M.E.K3-21	IGN	2019	3.74	3.319	-0.421	49.096	IGN69
Gruissan	Méditerranée	43.106667	3.101667		2012	0.91			0.68			0.47	M.E.K3 - 180	IGN	1994	3.453	3.026	-0.427	48.951	IGN69
Port de Sète	Méditerranée	43.397642	3.699108		2017	0.67			0.46			0.25	M.E.M3-39	IGN	2019	6.422	6.115	-0.307	49.187	IGN69
Port Camargue	Méditerranée	43.520333	4.126333		2012	0.76			0.53			0.35	M.F.CF3G3-11	IGN	2019	2.634	2.349	-0.285	49.143	IGN69
Saintes-Maries-de-la-Mer	Méditerranée	43.452167	4.398833		2014	0.59			0.4			0.17	M.C.D3F3 - 24	IGN	1994	1.515	1.248	-0.267		IGN69
Fos-sur-Mer	Méditerranée	43.416833	4.888833		2017	0.71			0.49			0.27	M.C.L3-2b	IGN	2009	2.935	2.601	-0.334	48.775	IGN69
Port-de-Bouc	Méditerranée	43.398333	4.983611		2020	0.76			0.53			0.27	M.C.B3L3 - 1	IGN	2019	14.505	14.185	-0.32	48.756	IGN69
Marseille (Corniche)	Méditerranée	43.278789	5.353736		2010	0.7			0.49			0.27	M.AC-0-VIII	IGN	2014	1.99	1.661	-0.329	48.602	IGN69
Le Petit Gaou	Méditerranée	43.06945	5.793617		2012	0.66			0.44			0.18	M.A.E-89	IGN	2007	7.738	7.44	-0.298	47.813	IGN69
Port de la Salette	Méditerranée	43.086667	6.08			0.65			0.49			0.34	M.A.E3 - 135	IGN	2005	16.723	16.498	-0.225		IGN69
Port Pothuau	Méditerranée	43.115917	6.201733		2011	0.7			0.47			0.19	M.A.A3E3-41	IGN	1981	12.853	12.547	-0.306	48.071	IGN69
Port Avis	Méditerranée	43.0259	6.453817		2021	0.64			0.43			0.18	Repère de nivellement de type Shom implanté sur la surface verticale du plan incliné du quai roro du Gapeau	Shom	2021	0.953	0.679	-0.274	47.087	IGN69
Fort de Bregancon	Méditerranée	43.095	6.323333			0.69			0.44			0.19	M.A.E3-154	IGN	1983	23.891	23.638	-0.253		IGN69
Cavalaire	Méditerranée	43.1725	6.5355			0.55			0.32			0.09	M.A.E3F3 - 48	IGN	1981	4.699	4.509	-0.19		IGN69
Saint-Tropez	Méditerranée	43.271667	6.634667			0.68			0.47			0.25	M.A.E3 - 78	IGN	1983	5.134	4.834	-0.3	47.91	IGN69
Port Ferréol	Méditerranée	43.359067	6.7176		2017	0.73			0.5			0.27	M.A.D3E3 - 18	IGN	2016	10.957	10.623	-0.334	47.973	IGN69
La Figueirette	Méditerranée	43.483533	6.933767		2017	0.74			0.51			0.29	M.A.K3-55	IGN	2016	2.32	1.991	-0.329	48.11	IGN69
Nice	Méditerranée	43.6955	7.285267		2017	0.75			0.54			0.29	M.A.I3K3 - 1 bis	IGN	2008	3.034	2.69	-0.344	48.4	IGN69
Monaco	Méditerranée	43.732814	7.423936		2017	0.73			0.52			0.27	Repère en acier (RN101 du service topographique monégasque)  situé à l'entrée ouest du tunnel T1, avenue Albert II.	Shom	2018	5.697	5.361	-0.336	48.486	IGN69
Centuri	Méditerranée	42.966	9.350167		2017	0.73			0.48			0.19	M.GJ - 31d	IGN	2021	2.396	2.045	-0.351	47.734	IGN78
Macinaggio	Méditerranée	42.959167	9.455833		2009	0.74			0.46			0.16	M.GHJ	IGN	2013	3.726	3.33	-0.396	47.827	IGN78
Bastia	Méditerranée	42.7	9.455		2016	0.85			0.58			0.29	MM' - 2	IGN	1978	12.829	12.344	-0.485	47.971	IGN78
Saint-Florent	Méditerranée	42.68	9.3		2017	0.77			0.49			0.18	FM-347	IGN	1978	2.398	1.986	-0.412	48.327	IGN78
Île-Rousse	Méditerranée	42.6395	8.936333		2015	0.67			0.44			0.18	FM-286 BIS	IGN	2011	6.354	5.929	-0.425	47.867	IGN78
Calvi	Méditerranée	42.566667	8.763333		2016	0.63			0.44			0.2	FM - 251	IGN	1978	6.411	6.004	-0.407	47.774	IGN78
Ajaccio	Méditerranée	41.922703	8.762839		2016	0.7			0.47			0.21	"FM"" - 3a BIS"	IGN	2021	9.167	8.799	-0.368	47.329	IGN78
Solenzara	Méditerranée	41.8568	9.403817		2017	0.86			0.58			0.29	FM' - 156-I	IGN	2021	2.656	2.177	-0.479	47.084	IGN78
Propriano	Méditerranée	41.676667	8.902167			0.45			0.3			0.13	"FM""-113"	IGN	2013	9.844	9.474	-0.37	47.626	IGN78
Porto-Vecchio	Méditerranée	41.590333	9.285667		2016	0.74			0.47			0.18	FM' - 215	IGN	2011	57.108	56.723	-0.385	47.574	IGN78
Senetosa	Méditerranée	41.549667	8.815		2009	0.67			0.43			0.17	"Repère baptisé ""marqueur géodésique G3""."	Shom		3.489			47.761	
Bonifacio	Méditerranée	41.389297	9.163889		2019	0.7			0.46			0.19	"M'M"" - 3"	IGN	2013	1.854	1.492	-0.362	47.099	IGN78
Saint-Pierre	Abords de Saint-Pierre	46.7855	-56.1675		2014	2.61	2.25	1.9	1.4	0.95	0.55	0.3	AB-2	IGN	2018	4.19	2.915	-1.275	-2.65	DANGER1950
Île Miquelon	Abords de Saint-Pierre	47.103833	-56.373833		2014	2.59	2.25	1.9	1.39	0.95	0.55	0.29	BC-79	IGN	2018	2.964	1.659	-1.305	-2.847	DANGER1950
Saint-Martin Marigot	Saint-Martin et Saint-Barthélemy	18.071	-63.086667		2012	0.83	0.65		0.53		0.4	0.23	AS-16	IGN	2019	22.099	21.74	-0.359	-43.717	IGN88
Gustavia	Saint-Martin et Saint-Barthélemy	17.90235	-62.853533		2012	0.83	0.65		0.54		0.4	0.24	A.EF-3	IGN	2019	2.556	2.272	-0.284		IGN88
Pointe-à-Pitre	Abords de Pointe-à-Pitre	16.224414	-61.531336		2017	0.88	0.7		0.58		0.4	0.18	GO-12	IGN	1988	2.883	2.423	-0.46	-40.929	IGN88
Saint-François	Abords de Pointe-à-Pitre	16.25	-61.274167		2012	0.86			0.55			0.15	GO-66	IGN	1988	3.979	3.497	-0.482		IGN88
Port-Louis	Abords de Pointe-à-Pitre	16.416667	-61.533333			0.55			0.38			0.11	AG-64	IGN	1988	2.955	2.495	-0.46		IGN88
Subercazeaux	Abords de Pointe-à-Pitre	16.3	-61.6		2008	0.79			0.47			0.05	pas de rattachement							
Îlet Kahouanne	Abords de Pointe-à-Pitre	16.363333	-61.78			0.61			0.44			0.16	AB - 38	IGN	1988	9.757	9.297	-0.46		IGN88
Deshaies	Abords de Pointe-à-Pitre	16.305	-61.8		2008	0.59			0.42			0.08	AB-64	IGN	1988	3.184	2.657	-0.527	-40.26	IGN88
Basse-Terre	Abords de Pointe-à-Pitre	15.9955	-61.733			0.69			0.45			0.13	AB-168	IGN	1988	4.973	4.481	-0.492	-39.888	IGN88
Rivière-Sens	Abords de Pointe-à-Pitre	15.983333	-61.716667		2008	0.76			0.51			0.18	BO - 13	IGN	1988	5.114	4.63	-0.484		IGN88
Les Saintes	Abords de Pointe-à-Pitre	15.8705	-61.582667		2012	0.83			0.57			0.22	O.DE-5	IGN	2008	1.901	1.444	-0.457	-40.036	IGN88
Marie-Galante	Abords de Pointe-à-Pitre	15.880167	-61.317		2015	0.82	0.7		0.54		0.45	0.15	MO-2	IGN	2008	2.651	2.192	-0.459		IGN88
La Désirade	Abords de Pointe-à-Pitre	16.302667	-61.072667		2009	0.83	0.65		0.55		0.35	0.17	O.AB - 20	IGN	2008	2.267	1.717	-0.55	-44.156	IGN92
Le Robert	Abords du Robert	14.678	-60.940833			0.97	0.75		0.54		0.3	0.04	NO - 53	IGN	2014	16.816	16.352	-0.464	-38.685	IGN87
La Trinité	Abords du Robert	14.741167	-60.9565			0.77	0.75		0.5		0.3	0.12	pas de rattachement							
Le François	Abords du Robert	14.622333	-60.888667			0.94	0.75		0.55		0.3	0.08	Repère SHOM scellé horizontalement dans le mur à l'entrée de l'auberge du club nautique.	Shom	1983	4.711	4.304	-0.407		NGM
Le Vauclin	Abords du Robert	14.546	-60.833667			0.91	0.75		0.54		0.3	0.1	Repère SH scellé horizontalement dans la façade du dancing de l'auberge de l'Atlantique.	Shom		8.81	8.465	-0.345		NGM
Cap Chevalier	Abords du Robert	14.433333	-60.833333		2011	0.79	0.6		0.43		0.2	-0.01	Repère SH scellé horizontalement dans la dalle en béton du BAR.	Shom		1.671	1.271	-0.4		NGM
Le Marin	Abords du Robert	14.466667	-60.866667			0.65	0.5		0.37		0.2	-0.01	AOS	IGN	1987	14.583	14.229	-0.354		IGN87
Fort-de-France	Abords de Fort-de-France	14.601439	-61.063294		2011	0.98	0.8		0.7		0.55	0.36	AN-13	IGN	2014	1.475	0.944	-0.531	-38.766	IGN87
Le Prêcheur	Abords de Fort-de-France	14.807583	-61.226556		2011	1.11			0.78			0.35	A.AB - 42	IGN	2014	5.103	4.541	-0.562	-39.617	IGN87
Saint-Pierre	Abords de Fort-de-France	14.739667	-61.180333			0.75	0.6		0.45		0.3	0.11	pas de rattachement							
Sainte-Luce	Abords de Fort-de-France	14.466667	-60.916667			0.68			0.38			-0.01	AS - 44	IGN	1987	1.993	1.619	-0.374		IGN87
Îles du Salut	Abords des Îles du Salut	5.2855	-52.587333		2013	3.72	3.3	2.7	2.14	1.55	1.05	0.6	Repère de nivellement SHOM scellé horizontalement dans le soubassement d'une construction en ruine.Repère situé dans l'Anse Legoff.	Shom	2013	6.884	5.024	-1.86	-36.286	NGG77
Pointe Française (Pointe des Hattes)	Abords des Îles du Salut	5.744967	-53.9533			4.23	3.9	3.2	2.6	1.9	1.3	0.92	9730601A	IGN	1977	6.172	3.79	-2.382	-34.562	NGG77
Saint-Laurent du Maroni	Abords des Îles du Salut	5.5	-54.033333			2.7	2.5	1.95	1.51	1	0.55		"M'M"" - 1"	IGN	2015	5.468	4.414	-1.054	-33.909	NGG77
Îlot Brigandin	Abords des Îles du Salut	5.431667	-52.993333				2.5	1.9	1.4	0.75	0.6		pas de rattachement							
Kourou	Abords des Îles du Salut	5.156667	-52.626383			3.59	3.2	2.6	2	1.4	0.85	0.48	MM' - 0 -I	IGN	2015	7.688	5.802	-1.886	-36.53	NGG77
Le Larivot	Abords des Îles du Salut	4.905333	-52.362667			3.71	3.4	2.75	2.14	1.5	0.9	0.62	BM-31-I	IGN	2002	5.697	3.53	-2.167	-36.727	NGG77
Îlet la Mère	Abords des Îles du Salut	4.892667	-52.19		2013	3.89	3.4	2.8	2.24	1.6	1.15	0.68	Repère de nivellement de type SHOM scellé horizontalement dans le rocher à six mètres au sud-est du marégraphe.	Shom		5.447			-36.227	
Dégrad des Cannes	Abords des Îles du Salut	4.854	-52.2805		2013	3.74	3.45	2.85	2.1	1.5	1.1	0.52	D.EG-1	IGN	2015	5.407	3.529	-1.878	-36.188	NGG77
Montagne d'Argent	Abords des Îles du Salut	4.383333	-51.683333			3.57	3.15	2.4	1.7	1.05	0.4	0.19	pas de rattachement							
Dzaoudzi	Abords de Dzaoudzi	-12.781981	45.25815		2015	4.3	3.7	2.8	2.13	1.45	0.5	0.08	N-402-BIS	IGN	2016	7.332	5.553	-1.779	-21.739	Shom53
Longoni	Abords de Dzaoudzi	-12.724167	45.161667		2015	4.31	3.7	2.8	2.13	1.45	0.5	0.08	Repère de nivellement SHOM scellé horizontalement au niveau du soubassement du pignon droit à l'entrée de la caserne des pompiers du port de Longoni.	Shom	2006	6.473	4.737	-1.736	-21.296	Shom53
Mtiti	Abords de Dzaoudzi	-12.923611	45.063333		2015	4.39	3.75	2.85	2.17	1.45	0.5	0.08	pas de rattachement							
